,AnalysisName,CatalogTypeCode,AnalysisID,YearID,EventID,ModelCode,Peril,ReTreatySID,ProgramID,ppnp,CompanyName,100shareloss,grloss,ntloss,finalnetloss100,finalnetgrloss,finalnetnetloss,TreatyID,cnty_cd
8,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,1,5,11,EQ,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,1576405.02875794,252224.804601271,220696.704026112,1410882.50073836,225741.200118137,197523.55010337,371333_1,
57,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,1,20,11,EQ,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,5268667.80596363,842986.848954181,737613.492834909,4715457.68633745,754473.229813992,660164.076087243,371333_1,
561,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,22,229,11,EQ,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,6776362.95823346,1084218.07331735,948690.814152685,6064844.84761895,970375.175619032,849078.278666653,371333_1,
660,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,26,267,11,EQ,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,693224.525206787,110915.924033086,97051.4335289501,620435.950060074,99269.7520096118,86861.0330084104,371333_1,
700,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,2,283,22,ST,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,2893699.01858761,462991.842974017,405117.862602265,2589860.62163591,414377.699461745,362580.487029027,371333_1,
932,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,36,356,11,EQ,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,15000000.0,2400000.0,2100000.0,13425000.0,2148000.0,1879500.0,371333_1,
933,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,36,356,11,EQ,8451,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,658387.11543408,105341.938469453,92174.1961607713,633697.598605302,101391.615776848,88717.6638047423,371333_2,
1441,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,53,518,11,EQ,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,15000000.0,2400000.0,2100000.0,13425000.0,2148000.0,1879500.0,371333_1,
1442,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,53,518,11,EQ,8451,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,2187678.50024505,350028.560039209,306274.990034307,2105640.55648586,336902.489037738,294789.677908021,371333_2,
2342,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,92,868,11,EQ,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,15000000.0,2400000.0,2100000.0,13425000.0,2148000.0,1879500.0,371333_1,
2343,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,92,868,11,EQ,8451,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,18593509.5762573,2974961.53220117,2603091.34067603,17896252.9671477,2863400.47474363,2505475.41540067,371333_2,
2513,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,96,907,11,EQ,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,2523541.91055695,403766.705689112,353295.867477973,2258570.00994847,361371.201591755,316199.801392786,371333_1,
2629,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,100,953,11,EQ,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,2256172.02788137,360987.524461019,315864.083903392,2019273.96495383,323083.834392612,282698.355093536,371333_1,
2837,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,109,1022,11,EQ,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,541686.804266347,86669.8886826154,75836.1525972885,484809.68981838,77569.5503709408,67873.3565745732,371333_1,
2883,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,111,1043,11,EQ,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,2719911.68557444,435185.86969191,380787.635980422,2434320.95858912,389491.35337426,340804.934202477,371333_1,
3130,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,44,1152,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,3365207.05645447,538433.129032715,471128.987903626,3011860.31552675,481897.65048428,421660.444173745,371333_1,
3178,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,124,1175,11,EQ,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,1311284.28754612,209805.486007379,183579.800256457,1173599.43735378,187775.909976604,164303.921229529,371333_1,
